name,number_of_entries,label_1_count,label_2_count

/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-15T17-10-22.008_0000.root,1927,0,0
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-15T17-10-22.008_0001.root,1927,0,7
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-15T17-10-22.008_0002.root,1927,15,1533
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-15T17-10-22.008_0003.root,1927,20,1874
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-15T17-10-22.008_0004.root,1255,12,1222
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T09-54-36.981_0000.root,1927,8,1889
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T10-18-38.616_0000.root,59,0,43
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T11-00-22.524_0000.root,1927,0,595
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T12-14-09.127_0000.root,215,4,109
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T14-36-42.503_0000.root,1927,37,1497
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T14-54-02.207_0001.root,1927,39,1080
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T15-09-59.118_0000.root,1927,31,1517
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T15-23-33.061_0001.root,1927,42,1503
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T15-42-53.650_0000.root,1927,38,1360
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T15-58-06.013_0001.root,1927,35,1525
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T16-41-31.953_0000.root,82,0,65
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T17-02-14.429_0000.root,1927,38,1305
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T17-19-36.950_0001.root,1927,33,1351
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T17-35-14.791_0002.root,494,5,378
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-16T17-59-49.287_0000.root,1927,38,1559
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T09-57-27.800_0000.root,1927,30,1404
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T10-14-12.398_0000.root,1927,2,1884
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T10-30-50.666_0000.root,1927,5,1890
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T10-30-50.666_0010.root,1927,3,1879
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T10-52-56.092_0005.root,1927,3,1874
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T11-06-24.801_0006.root,1927,0,1890
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T11-38-09.034_0002.root,1927,0,1651
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T12-10-34.100_0003.root,1927,1,1799
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-17T12-10-34.100_0013.root,1927,0,1818
