x,y,z,entry_nr
69.7659,25.5469,112.613,21
69.2656,26.413,112.613,21
68.7652,27.279,112.613,21
68.2649,28.1451,112.613,21
75.7665,22.0827,116.628,21
76.7671,20.3506,116.628,21
76.7671,23.8148,116.628,21
77.2675,22.9488,116.628,21
30.757,34.2074,93.2403,21
27.757,34.2074,90.8439,21
27.2566,35.0735,90.8439,21
77.7671,20.3506,117.009,21
81.7684,22.0827,118.636,21
80.7678,23.8148,118.636,21
81.2681,22.9488,118.636,21
77.7671,23.8148,117.009,21
78.2675,22.9488,117.009,21
78.7678,22.0827,117.009,21
81.2681,21.2167,118.636,21
80.2675,22.9488,118.636,21
80.7678,22.0827,118.636,21
38.2592,33.3414,95.8676,21
37.2586,35.0735,95.8676,21
37.7589,34.2074,95.8676,21
73.7665,22.0827,114.929,21
73.2662,22.9488,114.929,21
72.7659,23.8148,114.929,21
29.757,34.2074,91.9242,21
29.2566,35.0735,91.9242,21
74.7665,22.0827,116.229,21
75.7671,20.3506,116.229,21
74.2662,22.9488,116.229,21
78.7671,20.3506,117.609,21
78.7671,23.8148,117.609,21
40.7595,29.0111,97.0869,21
80.2681,21.2167,117.609,21
79.2675,22.9488,117.609,21
41.2598,28.1451,97.0869,21
79.7678,22.0827,117.609,21
39.7589,30.7432,97.0869,21
40.2592,33.3414,97.0869,21
42.7595,29.0111,98.5024,21
40.7595,32.4753,97.0869,21
39.7589,34.2074,97.0869,21
43.2598,28.1451,98.5024,21
71.2662,22.9488,114.082,21
70.2656,24.6809,114.082,21
70.7659,23.8148,114.082,21
38.2586,31.6093,96.9146,21
39.7595,29.0111,96.9146,21
38.7589,30.7432,96.9146,21
36.2586,35.0735,95.2603,21
36.7589,34.2074,95.2603,21
39.2592,33.3414,96.9146,21
39.7595,32.4753,96.9146,21
38.2586,35.0735,96.9146,21
38.7589,34.2074,96.9146,21
68.2656,26.413,112.152,21
67.7652,27.279,112.152,21
66.7646,29.0111,112.152,21
67.2649,28.1451,112.152,21
41.7595,29.0111,98.0473,21
42.2598,28.1451,98.0473,21
41.2592,33.3414,98.0473,21
41.7595,32.4753,98.0473,21
44.2598,28.1451,99.1839,21
47.2611,29.8772,100.233,21
46.2605,31.6093,100.233,21
45.2605,31.6093,99.1839,21
46.7608,30.7432,100.233,21
45.7608,30.7432,99.1839,21
44.2598,33.3414,99.1839,21
63.7646,29.0111,109.811,21
63.2643,22.9488,109.811,21
