x, y, z
40.7595,32.4753,119.59
39.7589,34.2074,119.59
41.2598,36.8056,119.59
40.2592,38.5377,119.59
39.7589,39.4037,119.59
31.7576,34.2074,124.672
30.757,35.9395,124.672
32.7576,34.2074,127.007
32.2573,40.2698,127.007
75.7665,20.3506,101.09
76.7671,18.6185,101.09
77.2675,22.9488,101.09
76.2668,24.6809,101.09
69.7659,27.279,102.032
68.7652,29.0111,102.032
33.7576,34.2074,123.088
34.7582,41.1358,123.088
35.2586,40.2698,123.088
33.7576,42.8679,123.088
72.7659,27.279,103.194
74.2668,24.6809,103.194
66.7652,29.0111,103.924
65.7646,30.7432,103.924
38.2592,38.5377,121.693
37.7589,39.4037,121.693
36.7582,41.1358,121.693
37.2586,40.2698,121.693
70.7659,27.279,104.851
69.7652,29.0111,104.851
63.7646,30.7432,106.012
79.7678,16.8864,99.2823
78.7671,18.6185,99.2823
42.2598,36.8056,122.373
41.2592,38.5377,122.373
59.263,26.413,108.006
45.2605,35.0735,120.742
44.2598,36.8056,120.742
50.2617,35.0735,114.074
57.263,26.413,109.47
43.7601,30.7432,118.012
42.7595,32.4753,118.012
44.2605,35.0735,118.012
43.2598,36.8056,118.012
47.2605,35.0735,118.947
45.7601,30.7432,115.811
53.2617,35.0735,111.453
107.274,26.413,83.9651
105.773,29.0111,83.9651
106.774,27.279,83.9651
102.773,29.0111,82.4917
103.773,29.0111,85.5555
