plane,strip,ratio
0,0,0
0,1,1.01386
0,2,0.766464
0,3,1.01393
0,4,1.05288
0,5,1.0292
0,6,1.03466
0,7,1.10623
0,8,1.04991
0,9,1.02347
0,10,1.04708
0,11,1.05941
0,12,0.933414
0,13,0.897479
0,14,1.08627
0,15,1.0443
0,16,1.01037
0,17,0.875601
0,18,1.10617
0,19,0.982414
0,20,1.08676
0,21,1.00396
0,22,1.008
0,23,1.00822
0,24,0.985123
0,25,0.902703
0,26,1.11148
0,27,0.920531
0,28,0.975092
0,29,1.05635
0,30,0.970774
0,31,0.995973
0,32,1.10388
0,33,0.940975
0,34,0.912013
0,35,0.950161
0,36,1.05565
0,37,0.936538
0,38,1.02859
0,39,0.962089
0,40,0.990721
0,41,0.936711
0,42,1.0713
0,43,1.12632
0,44,1.04403
0,45,0.962727
0,46,1.0922
0,47,0.923268
0,48,0.920819
0,49,0.882474
0,50,0.921562
0,51,0.989686
0,52,0.982444
0,53,0.87275
0,54,1.02252
0,55,1.05669
0,56,0.961255
0,57,1.01021
0,58,0.965997
0,59,0.999944
0,60,0.984498
0,61,0.912759
0,62,1.12635
0,63,1.08446
0,64,1.0989
0,65,1.04553
0,66,0.917207
0,67,1.00343
0,68,0.987427
0,69,0.923353
0,70,1.09885
0,71,0.947529
0,72,1.08813
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
1,0,0
1,1,0.856797
1,2,0.925649
1,3,1.04019
1,4,0.848862
1,5,0.970599
1,6,0.923767
1,7,1.07032
1,8,0.913578
1,9,0.881267
1,10,0.900983
1,11,0.965383
1,12,1.0407
1,13,1.03912
1,14,1.03291
1,15,1.01692
1,16,0.991955
1,17,0.990273
1,18,1.05233
1,19,1.08431
1,20,0.993603
1,21,0.966765
1,22,1.0891
1,23,1.07253
1,24,1.07123
1,25,0.922374
1,26,0.946194
1,27,0.991413
1,28,0.965032
1,29,0.823345
1,30,1.0796
1,31,0.835154
1,32,0.957598
1,33,0.794842
1,34,1.006
1,35,0.986585
1,36,0.948647
1,37,0.853403
1,38,1.14507
1,39,0.980758
1,40,1.16262
1,41,0.86572
1,42,1.03146
1,43,0.885353
1,44,1.15873
1,45,1.00807
1,46,1.00216
1,47,0.988843
1,48,1.27494
1,49,1.09257
1,50,1.17057
1,51,1.06034
1,52,1.18277
1,53,0.956087
1,54,1.21652
1,55,0.898028
1,56,1.18665
1,57,1.11242
1,58,1.19057
1,59,0.908063
1,60,1.09583
1,61,0.970376
1,62,1.07236
1,63,0.873789
1,64,1.10196
1,65,0.875714
1,66,1.06957
1,67,1.07517
1,68,1.03085
1,69,0.932046
1,70,0.904993
1,71,0.89217
1,72,1.01703
1,73,1.09202
1,74,0.977723
1,75,0.790051
1,76,1.05298
1,77,0.971056
1,78,1.02927
1,79,1.00122
1,80,1.00526
1,81,1.05189
1,82,1.01939
1,83,1.12827
1,84,0.954548
1,85,0.929677
1,86,0.897979
1,87,0.95526
1,88,0.948463
1,89,0.94445
1,90,1.03851
1,91,0.969267
1,92,1.00324
2,0,0
2,1,1.01585
2,2,0.905837
2,3,1.07786
2,4,0.766433
2,5,1.04673
2,6,0.780626
2,7,0.986354
2,8,0.834662
2,9,1.08759
2,10,0.828729
2,11,1.04124
2,12,0.891234
2,13,1.09181
2,14,0.915043
2,15,1.00916
2,16,1.04516
2,17,1.04755
2,18,0.906679
2,19,1.11231
2,20,0.971066
2,21,1.06684
2,22,0.830209
2,23,1.27652
2,24,0.93955
2,25,1.11371
2,26,1.03848
2,27,1.06563
2,28,0.927448
2,29,1.09347
2,30,1.06742
2,31,1.00919
2,32,1.00619
2,33,0.967337
2,34,0.882127
2,35,1.08612
2,36,0.967311
2,37,1.04203
2,38,0.86914
2,39,1.03186
2,40,0.939184
2,41,1.20531
2,42,1.02856
2,43,1.10671
2,44,0.785213
2,45,1.04424
2,46,0.988418
2,47,1.02996
2,48,0.926028
2,49,1.2014
2,50,1.10818
2,51,1.06786
2,52,0.830276
2,53,1.13002
2,54,0.789789
2,55,1.21575
2,56,0.968435
2,57,1.05101
2,58,1.05972
2,59,0.869697
2,60,0.935008
2,61,0.998639
2,62,0.938045
2,63,1.20939
2,64,0.999238
2,65,1.21566
2,66,0.979921
2,67,0.865286
2,68,1.06399
2,69,1.10627
2,70,0.941539
2,71,0.902156
2,72,0.939391
2,73,1.05141
2,74,1.05468
2,75,1.0705
2,76,1.02562
2,77,0.954002
2,78,0.803984
2,79,1.13829
2,80,0.935027
2,81,1.15269
2,82,0.868608
2,83,1.04411
2,84,0.871655
2,85,1.00882
2,86,0.981541
2,87,0.953342
2,88,0.994471
2,89,1.03615
2,90,1.01029
2,91,1.0989
2,92,0.863119
