plane,strip,ratio
0,0,0
0,1,0.987136
0,2,0.766888
0,3,0.964914
0,4,1.05346
0,5,1.01442
0,6,1.03523
0,7,1.01449
0,8,1.05049
0,9,1.02977
0,10,1.04766
0,11,1.08506
0,12,0.93393
0,13,0.913263
0,14,0.985042
0,15,1.0005
0,16,0.966531
0,17,1.01077
0,18,0.961786
0,19,1.05728
0,20,1.02308
0,21,0.873232
0,22,0.982987
0,23,1.00452
0,24,1.11209
0,25,1.00878
0,26,0.975631
0,27,0.903201
0,28,0.971311
0,29,0.92104
0,30,1.10449
0,31,1.05693
0,32,0.912516
0,33,0.996523
0,34,1.05623
0,35,0.941495
0,36,1.03844
0,37,0.962621
0,38,0.958132
0,39,0.937228
0,40,1.02916
0,41,1.12694
0,42,0.991269
0,43,0.963259
0,44,1.07189
0,45,0.923778
0,46,1.04461
0,47,0.882962
0,48,1.0928
0,49,0.990233
0,50,0.921328
0,51,0.876085
0,52,0.922071
0,53,1.04488
0,54,1.00856
0,55,0.897975
0,56,1.08736
0,57,1.05999
0,58,1.10678
0,59,1.02404
0,60,1.01092
0,61,1.0461
0,62,1.08687
0,63,1.00398
0,64,1.09951
0,65,0.923863
0,66,0.917714
0,67,0.948053
0,68,0.987973
0,69,1.05411
0,70,1.09946
0,71,1.04765
0,72,1.08874
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
1,0,0
1,1,0.911169
1,2,0.854377
1,3,0.862363
1,4,0.929769
1,5,1.04694
1,6,0.919513
1,7,0.976905
1,8,1.02602
1,9,0.935717
1,10,1.0118
1,11,1.1356
1,12,1.03596
1,13,1.05872
1,14,1.05982
1,15,1.00772
1,16,0.984075
1,17,0.977365
1,18,1.09618
1,19,1.09135
1,20,1.07818
1,21,0.973046
1,22,0.952341
1,23,1.0795
1,24,0.971302
1,25,0.928366
1,26,0.915343
1,27,0.997854
1,28,1.0004
1,29,0.978441
1,30,1.08661
1,31,0.829344
1,32,0.963819
1,33,0.828694
1,34,1.01253
1,35,0.84058
1,36,0.95481
1,37,0.800006
1,38,1.15251
1,39,0.992995
1,40,1.19045
1,41,0.903862
1,42,1.17817
1,43,0.962298
1,44,1.12748
1,45,1.06723
1,46,1.06309
1,47,1.09966
1,48,0.978132
1,49,0.871345
1,50,1.16625
1,51,0.98713
1,52,1.03816
1,53,0.858947
1,54,1.22442
1,55,0.913963
1,56,1.19436
1,57,0.97668
1,58,1.1983
1,59,0.879466
1,60,1.10295
1,61,0.887257
1,62,1.07932
1,63,0.973618
1,64,1.10912
1,65,0.881403
1,66,1.01391
1,67,1.08216
1,68,1.02045
1,69,0.938102
1,70,1.07652
1,71,0.897966
1,72,1.03755
1,73,1.09911
1,74,0.910872
1,75,0.795184
1,76,1.00006
1,77,1.02353
1,78,1.05916
1,79,1.04587
1,80,0.998399
1,81,0.971655
1,82,1.03962
1,83,0.886993
1,84,1.04746
1,85,1.07727
1,86,0.906837
1,87,0.950586
1,88,0.903813
1,89,0.975564
1,90,0.954624
1,91,0.924422
1,92,1.04526
2,0,0
2,1,1.077
2,2,0.862434
2,3,1.0459
2,4,0.905118
2,5,0.985571
2,6,0.765825
2,7,1.08673
2,8,0.780007
2,9,1.04041
2,10,0.834
2,11,1.09095
2,12,0.828072
2,13,1.00836
2,14,0.890527
2,15,1.04672
2,16,0.914317
2,17,1.11142
2,18,1.04433
2,19,1.06599
2,20,0.90596
2,21,1.27551
2,22,0.970295
2,23,0.997847
2,24,0.829551
2,25,0.869007
2,26,0.979144
2,27,1.05018
2,28,0.998445
2,29,1.21479
2,30,0.9373
2,31,1.12912
2,32,0.934266
2,33,1.0412
2,34,1.05888
2,35,1.03104
2,36,0.966544
2,37,1.20436
2,38,0.86845
2,39,1.10583
2,40,0.938439
2,41,1.23391
2,42,1.02775
2,43,1.01439
2,44,0.78459
2,45,1.01921
2,46,0.987634
2,47,1.07168
2,48,0.925293
2,49,1.04341
2,50,1.1073
2,51,1.02914
2,52,0.829617
2,53,1.20045
2,54,0.789162
2,55,1.08526
2,56,0.967667
2,57,0.966569
2,58,1.00539
2,59,1.00839
2,60,1.06657
2,61,1.0926
2,62,0.926712
2,63,1.06479
2,64,1.03765
2,65,1.11283
2,66,0.938805
2,67,1.21469
2,68,0.940792
2,69,0.8646
2,70,0.938646
2,71,1.10539
2,72,1.05384
2,73,0.90144
2,74,1.0248
2,75,1.05057
2,76,0.803347
2,77,1.06965
2,78,0.934285
2,79,0.953245
2,80,0.867919
2,81,1.13739
2,82,0.870964
2,83,1.15178
2,84,0.980762
2,85,1.04328
2,86,0.993682
2,87,1.01505
2,88,0.969274
2,89,1.24971
2,90,0.988121
2,91,0.982325
2,92,0.867832
