plane,strip,ratio
0,0,0
0,1,0.229436
0,2,0.378545
0,3,0.221254
0,4,0.226163
0,5,0.845197
0,6,0.221254
0,7,0.221378
0,8,0.221946
0,9,0.782022
0,10,1.51733
0,11,0.221755
0,12,0.347471
0,13,0.322945
0,14,0.221314
0,15,1.16964
0,16,0.221274
0,17,0.22126
0,18,0.221254
0,19,0.221461
0,20,0.221697
0,21,0.221254
0,22,0.221254
0,23,1.03614
0,24,0.851105
0,25,0.221739
0,26,0.221254
0,27,0.221427
0,28,0.39136
0,29,0.222678
0,30,0.263623
0,31,0.252946
0,32,0.221254
0,33,0.221254
0,34,0.277502
0,35,0.222534
0,36,0.221254
0,37,0.914411
0,38,0.222353
0,39,0.221749
0,40,0.223424
0,41,0.227571
0,42,0.221355
0,43,1.4561
0,44,1.69555
0,45,0.226733
0,46,0.289762
0,47,0.615016
0,48,0.222252
0,49,0.54764
0,50,0.279342
0,51,0.221494
0,52,0.223827
0,53,0.256421
0,54,0.221254
0,55,0.221834
0,56,0.221683
0,57,0.372945
0,58,0.282645
0,59,0.221863
0,60,0.221254
0,61,0.237225
0,62,0.221641
0,63,0.225073
0,64,0.247339
0,65,0.221983
0,66,0.221315
0,67,0.221254
0,68,0.221753
0,69,0.226085
0,70,0.221254
0,71,0.222587
0,72,0.221782
0,73,0.247744
0,74,0.222207
0,75,0.221254
0,76,0.22285
0,77,0.222707
0,78,0.221692
0,79,0.221254
0,80,0.238545
0,81,0.230831
0,82,0.222257
0,83,0.221335
0,84,0.221267
0,85,0.221254
0,86,0.221546
0,87,0.225163
0,88,0.222565
0,89,0.230675
0,90,0.222057
0,91,0.326822
0,92,0.221971
0,93,0.558791
0,94,0.535697
0,95,0.355676
0,96,0.221787
0,97,0.222387
0,98,0.22165
0,99,0.222059
0,100,0.221474
0,101,0.221301
0,102,0.22256
0,103,0.29152
0,104,0.221341
0,105,0.221631
0,106,0.387191
0,107,0.301203
0,108,0.221503
0,109,0.221254
0,110,0.221254
0,111,0.512693
0,112,0.221274
0,113,0.221254
0,114,0.695998
0,115,0.221254
0,116,0.221294
0,117,0.221911
0,118,0.221751
0,119,0.250436
0,120,0.221623
0,121,0.315831
0,122,0.30354
0,123,0.323197
0,124,1.018
0,125,0.230765
0,126,0.221892
0,127,0.221362
0,128,0.221254
0,129,0.223402
0,130,0.221254
0,131,0.221807
0,132,0.221544
0,133,0
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,0
0,140,0
0,141,0
0,142,0
0,143,0
0,144,0
0,145,0
0,146,0
0,147,0
0,148,0
0,149,0
0,150,0
0,151,0
0,152,0
0,153,0
0,154,0
0,155,0
0,156,0
0,157,0
0,158,0
0,159,0
0,160,0
0,161,0
0,162,0
0,163,0
0,164,0
0,165,0
0,166,0
0,167,0
0,168,0
0,169,0
0,170,0
0,171,0
0,172,0
0,173,0
0,174,0
0,175,0
0,176,0
0,177,0
0,178,0
0,179,0
0,180,0
0,181,0
0,182,0
0,183,0
0,184,0
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,0
0,192,0
0,193,0
0,194,0
0,195,0
0,196,0
0,197,0
0,198,0
0,199,0
0,200,0
0,201,0
0,202,0
0,203,0
0,204,0
0,205,0
0,206,0
0,207,0
0,208,0
0,209,0
0,210,0
0,211,0
0,212,0
0,213,0
0,214,0
0,215,0
0,216,0
0,217,0
0,218,0
0,219,0
0,220,0
0,221,0
0,222,0
0,223,0
0,224,0
0,225,0
0,226,0
1,0,0
1,1,0.254445
1,2,0.20436
1,3,0.204566
1,4,0.204317
1,5,0.635684
1,6,0.302774
1,7,0.477816
1,8,0.626686
1,9,0.635629
1,10,0.204514
1,11,0.208199
1,12,0.20917
1,13,0.204317
1,14,0.210908
1,15,0.204386
1,16,0.383935
1,17,0.204317
1,18,0.204317
1,19,0.225739
1,20,0.212366
1,21,0.204649
1,22,0.204317
1,23,0.204317
1,24,0.204563
1,25,0.204732
1,26,0.204935
1,27,0.204777
1,28,0.204317
1,29,0.205076
1,30,0.204317
1,31,0.314519
1,32,0.204428
1,33,0.204317
1,34,0.230754
1,35,0.206889
1,36,0.204317
1,37,0.204317
1,38,0.204611
1,39,0.215525
1,40,0.737259
1,41,0.209032
1,42,0.205885
1,43,0.207423
1,44,0.312639
1,45,0.212634
1,46,0.268862
1,47,0.208327
1,48,0.205454
1,49,1.07153
1,50,0.204524
1,51,0.20786
1,52,0.20515
1,53,0.20442
1,54,0.204317
1,55,0.204494
1,56,0.204486
1,57,0.284562
1,58,0.204461
1,59,0.204904
1,60,0.204684
1,61,0.207364
1,62,0.377488
1,63,0.756527
1,64,0.173616
1,65,0.664479
1,66,0.38239
1,67,0.503854
1,68,0.280179
1,69,0.170319
1,70,0.170372
1,71,0.568565
1,72,0.588379
1,73,0.576054
1,74,0.529816
1,75,0.813518
1,76,0.76361
1,77,0.325355
1,78,0.176506
1,79,0.712551
1,80,0.508605
1,81,0.136406
1,82,0.168598
1,83,0.181788
1,84,0.392362
1,85,0.582337
1,86,0.136738
1,87,0.204589
1,88,0.445903
1,89,0.51837
1,90,0.137701
1,91,0.136386
1,92,0.139956
1,93,0.136753
1,94,0.136564
1,95,0.141229
1,96,0.137456
1,97,0.137413
1,98,0.136602
1,99,0.154331
1,100,0.136289
1,101,0.136211
1,102,0.136211
1,103,0.136397
1,104,0.136976
1,105,0.136831
1,106,0.136693
1,107,0.136928
1,108,0.136261
1,109,0.136211
1,110,0.165404
1,111,0.136542
1,112,0.136211
1,113,0.179307
1,114,0.139101
1,115,0.715118
1,116,0.460431
1,117,0.136211
1,118,0.136211
1,119,0.136219
1,120,0.137132
1,121,0.136211
1,122,0.137832
1,123,0.139541
1,124,0.136211
1,125,0.136211
1,126,0.25007
1,127,0.171719
1,128,0.136362
1,129,0.170264
1,130,0.170264
1,131,0.228536
1,132,0.911571
1,133,0.273204
1,134,0.244701
1,135,0.449992
1,136,0.17039
1,137,0.170264
1,138,0.170264
1,139,0.170264
1,140,0.170265
1,141,0.170304
1,142,0.170264
1,143,0.17061
1,144,0.170264
1,145,0.170264
1,146,0.366629
1,147,0.319679
1,148,0.240988
1,149,0.174845
1,150,0.170272
1,151,0.170264
1,152,0.21292
1,153,0.171345
1,154,0.170264
1,155,0.170334
1,156,0.275947
1,157,0.170754
1,158,0.174437
1,159,0.170292
1,160,0.174288
1,161,0.288547
1,162,0.264574
1,163,0.305417
1,164,0.281787
1,165,0.232106
1,166,0.914652
1,167,0.573427
1,168,0.309669
1,169,0.588576
1,170,0.232645
1,171,0.172758
1,172,0.293373
1,173,0.649194
1,174,0.170756
1,175,0.884343
1,176,0.173613
1,177,0.170264
1,178,0.170483
1,179,0.905213
1,180,0.170698
1,181,0.208605
1,182,0.702726
1,183,0.655999
1,184,0.170355
1,185,0.170315
1,186,0.172362
1,187,0.170586
1,188,0.17035
1,189,0.170264
1,190,0.260036
1,191,0.170264
1,192,0.170307
1,193,0.327146
1,194,0.642224
1,195,0.248665
1,196,0.170264
1,197,0.492997
1,198,0.1731
1,199,0.170448
1,200,0.170852
1,201,0.170606
1,202,0.314795
1,203,0.170379
1,204,0.170415
1,205,0.553312
1,206,0.170285
1,207,0.170264
1,208,0.170264
1,209,0.170264
1,210,0.523071
1,211,0.170375
1,212,0.497716
1,213,0.170718
1,214,0.170264
1,215,0.436934
1,216,0.343755
1,217,0.313713
1,218,0.396188
1,219,0.188421
1,220,0.170342
1,221,0.188684
1,222,0.170264
1,223,0.182832
1,224,0.170264
1,225,0.170264
1,226,0
2,0,0
2,1,0.165447
2,2,0.156547
2,3,0.262771
2,4,0.155364
2,5,0.15523
2,6,0.15523
2,7,1.85477
2,8,0.31579
2,9,0.563582
2,10,0.414193
2,11,0.155924
2,12,0.156585
2,13,0.160631
2,14,0.158374
2,15,0.311255
2,16,0.15523
2,17,0.15523
2,18,0.486051
2,19,0.155947
2,20,0.234155
2,21,0.15523
2,22,0.21397
2,23,0.15523
2,24,0.157451
2,25,0.155383
2,26,0.253641
2,27,0.201728
2,28,0.487629
2,29,0.15523
2,30,0.15523
2,31,0.15523
2,32,0.155524
2,33,0.15523
2,34,0.15523
2,35,0.155453
2,36,0.348761
2,37,0.233159
2,38,0.15523
2,39,0.15523
2,40,0.15523
2,41,0.326258
2,42,0.501002
2,43,0.324419
2,44,0.155292
2,45,0.249429
2,46,0.155458
2,47,0.200958
2,48,0.30208
2,49,1.09359
2,50,0.887501
2,51,0.155242
2,52,0.15523
2,53,0.458153
2,54,0.262207
2,55,0.155483
2,56,0.155967
2,57,1.16089
2,58,0.155883
2,59,0.16259
2,60,0.156276
2,61,0.15523
2,62,0.229221
2,63,0.155491
2,64,0.958391
2,65,0.64707
2,66,0.691268
2,67,1.07601
2,68,0.15536
2,69,0.156079
2,70,0.207419
2,71,0.219232
2,72,0.415445
2,73,1.25983
2,74,0.33373
2,75,0.409203
2,76,0.199806
2,77,0.249038
2,78,0.155953
2,79,0.155636
2,80,0.155318
2,81,0.155439
2,82,0.415971
2,83,0.331368
2,84,0.15523
2,85,0.56889
2,86,0.155665
2,87,0.15523
2,88,0.15523
2,89,0.15523
2,90,0.15523
2,91,0.15523
2,92,0.155262
2,93,0.168049
2,94,0.15659
2,95,0.155271
2,96,0.15523
2,97,0.173635
2,98,0.15523
2,99,0.201566
2,100,0.15531
2,101,0.155295
2,102,0.15523
2,103,0.15523
2,104,0.15523
2,105,0.15523
2,106,0.155674
2,107,0.15523
2,108,0.155836
2,109,0.155253
2,110,0.15523
2,111,0.375223
2,112,0.155786
2,113,0.155236
2,114,0.15523
2,115,0.15523
2,116,0.15523
2,117,0.15523
2,118,0.15523
2,119,0.15523
2,120,0.155285
2,121,0.15523
2,122,0.155577
2,123,0.66241
2,124,0.155973
2,125,0.155726
2,126,0.155776
2,127,0.155439
2,128,0.167511
2,129,0.15738
2,130,0.15523
2,131,0.15523
2,132,0.166272
2,133,0.15523
2,134,0.156084
2,135,0.15526
2,136,0.302044
2,137,0.15523
