plane,strip,ratio
0,0,0
0,1,0.690841
0,2,0.67134
0,3,0.676458
0,4,0.940125
0,5,0.796395
0,6,0.757225
0,7,0.795693
0,8,0.895545
0,9,0.97011
0,10,0.861829
0,11,2.24071
0,12,0.6721
0,13,0.671841
0,14,0.674772
0,15,0.711077
0,16,0.673537
0,17,0.766134
0,18,0.674629
0,19,1.54651
0,20,0.704018
0,21,0.679166
0,22,0.674316
0,23,0.721634
0,24,2.26537
0,25,0.740013
0,26,0.67247
0,27,0.67134
0,28,0.671853
0,29,0.67134
0,30,2.06896
0,31,1.52537
0,32,0.673895
0,33,0.693512
0,34,0.966681
0,35,0.671366
0,36,0.761797
0,37,0.671767
0,38,0.671392
0,39,0.67134
0,40,0.708145
0,41,3.3197
0,42,0.671654
0,43,0.672007
0,44,1.26687
0,45,0.671356
0,46,0.809748
0,47,0.67134
0,48,1.77104
0,49,0.68504
0,50,0.671361
0,51,0.671392
0,52,0.671395
0,53,1.25195
0,54,0.680033
0,55,0.672303
0,56,1.6358
0,57,1.60473
0,58,2.12995
0,59,0.881451
0,60,0.680456
0,61,1.28614
0,62,1.62226
0,63,0.726722
0,64,1.94325
0,65,0.672261
0,66,0.671397
0,67,0.674106
0,68,0.674078
0,69,1.4677
0,70,1.94242
0,71,1.31661
0,72,1.67087
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
1,0,0
1,1,0.589191
1,2,0.585432
1,3,0.585932
1,4,0.585941
1,5,1.76551
1,6,0.585668
1,7,0.619855
1,8,0.811253
1,9,0.58946
1,10,0.667887
1,11,3.81722
1,12,0.982812
1,13,2.03826
1,14,1.48064
1,15,0.926848
1,16,0.592868
1,17,0.630883
1,18,2.31915
1,19,2.79198
1,20,1.90253
1,21,0.616929
1,22,0.587672
1,23,2.51754
1,24,0.590417
1,25,0.587673
1,26,0.587081
1,27,0.802924
1,28,0.632078
1,29,0.598771
1,30,0.590819
1,31,0.585432
1,32,0.585432
1,33,0.585432
1,34,0.586056
1,35,0.585432
1,36,0.585432
1,37,0.585432
1,38,1.02677
1,39,0.588709
1,40,1.84694
1,41,0.585462
1,42,1.56555
1,43,0.58806
1,44,0.695032
1,45,0.9892
1,46,0.590008
1,47,1.66788
1,48,0.585432
1,49,0.585432
1,50,1.30267
1,51,0.588239
1,52,0.586871
1,53,0.585432
1,54,2.63173
1,55,0.585472
1,56,1.93722
1,57,0.587443
1,58,2.02814
1,59,0.585432
1,60,0.603531
1,61,0.585432
1,62,0.592104
1,63,0.590416
1,64,0.61618
1,65,0.58655
1,66,0.717346
1,67,2.57908
1,68,0.781384
1,69,0.589121
1,70,1.86475
1,71,0.586154
1,72,1.02433
1,73,2.9715
1,74,0.586857
1,75,0.585432
1,76,0.623465
1,77,1.23536
1,78,1.46874
1,79,1.73975
1,80,0.619689
1,81,0.607141
1,82,1.05744
1,83,0.586051
1,84,1.20993
1,85,2.46588
1,86,0.589444
1,87,0.589647
1,88,0.58688
1,89,0.611639
1,90,0.589142
1,91,0.586368
1,92,1.16028
2,0,0
2,1,0.643489
2,2,0.62928
2,3,0.634084
2,4,0.62928
2,5,0.630466
2,6,0.62928
2,7,0.6599
2,8,0.62928
2,9,0.634763
2,10,0.629722
2,11,0.677757
2,12,0.62928
2,13,0.62928
2,14,0.62928
2,15,0.631202
2,16,0.62928
2,17,0.890853
2,18,1.14249
2,19,0.640877
2,20,0.629419
2,21,4.95271
2,22,0.631702
2,23,0.630716
2,24,0.62928
2,25,0.62928
2,26,0.63338
2,27,0.635966
2,28,0.652741
2,29,3.40051
2,30,0.632432
2,31,1.24777
2,32,0.630221
2,33,0.634036
2,34,1.49024
2,35,0.632531
2,36,0.631867
2,37,3.13432
2,38,0.62928
2,39,0.839853
2,40,0.630307
2,41,3.88896
2,42,0.86732
2,43,0.632569
2,44,0.62928
2,45,0.632438
2,46,0.642629
2,47,0.644858
2,48,0.630208
2,49,0.63383
2,50,2.71821
2,51,0.632564
2,52,0.62928
2,53,3.0343
2,54,0.62928
2,55,0.675663
2,56,0.632383
2,57,0.629721
2,58,0.673598
2,59,0.631527
2,60,1.68285
2,61,0.709293
2,62,0.632412
2,63,0.635377
2,64,1.02405
2,65,3.23753
2,66,0.631292
2,67,3.39748
2,68,0.630343
2,69,0.62928
2,70,0.630117
2,71,0.804954
2,72,1.36805
2,73,0.62928
2,74,0.812487
2,75,0.629461
2,76,0.62928
2,77,0.633938
2,78,0.62928
2,79,0.62935
2,80,0.6293
2,81,1.42999
2,82,0.62928
2,83,1.79056
2,84,0.635102
2,85,0.633343
2,86,0.64283
2,87,0.632022
2,88,0.679269
2,89,4.29292
2,90,0.640705
2,91,0.630827
2,92,0.630719
