plane,strip,ratio
0,0,0
0,1,0.985634
0,2,0.765721
0,3,0.963446
0,4,1.05185
0,5,1.01288
0,6,1.03366
0,7,1.01295
0,8,1.04889
0,9,1.02821
0,10,1.04606
0,11,1.0834
0,12,0.932508
0,13,0.911874
0,14,0.983544
0,15,0.998975
0,16,0.96506
0,17,1.00923
0,18,0.960323
0,19,1.05567
0,20,1.02152
0,21,0.981461
0,22,0.981491
0,23,1.00299
0,24,1.1104
0,25,1.00725
0,26,0.974147
0,27,0.901827
0,28,0.969833
0,29,0.919638
0,30,1.10281
0,31,1.05532
0,32,0.911128
0,33,0.995007
0,34,1.05462
0,35,0.940062
0,36,1.03686
0,37,0.961156
0,38,0.956674
0,39,0.935802
0,40,1.0276
0,41,1.12523
0,42,0.98976
0,43,0.961793
0,44,1.07026
0,45,0.922372
0,46,1.04302
0,47,0.881618
0,48,1.09114
0,49,0.988726
0,50,0.919926
0,51,0.874752
0,52,0.920668
0,53,1.04329
0,54,1.00702
0,55,0.896608
0,56,1.08571
0,57,1.05838
0,58,1.10509
0,59,1.02248
0,60,1.00939
0,61,1.04451
0,62,1.08521
0,63,1.00246
0,64,1.09784
0,65,0.922457
0,66,0.916317
0,67,0.94661
0,68,0.98647
0,69,1.05251
0,70,1.09779
0,71,1.04606
0,72,1.08708
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
1,0,0
1,1,0.910507
1,2,0.853756
1,3,0.861736
1,4,0.929093
1,5,1.04618
1,6,0.918845
1,7,0.976195
1,8,1.02527
1,9,0.935037
1,10,1.01106
1,11,1.13478
1,12,1.0352
1,13,1.05795
1,14,1.05905
1,15,1.00699
1,16,0.98336
1,17,0.976655
1,18,1.09538
1,19,1.09056
1,20,1.0774
1,21,0.972339
1,22,0.951648
1,23,1.07871
1,24,0.970596
1,25,0.927691
1,26,0.914677
1,27,0.997128
1,28,0.999669
1,29,1.01447
1,30,1.08582
1,31,0.828741
1,32,0.963119
1,33,0.828091
1,34,1.0118
1,35,0.839969
1,36,0.954116
1,37,0.799424
1,38,1.15167
1,39,0.992273
1,40,1.18959
1,41,0.903205
1,42,1.17732
1,43,0.961599
1,44,1.12666
1,45,1.06645
1,46,1.06232
1,47,1.09887
1,48,0.977421
1,49,0.870711
1,50,1.16541
1,51,0.986412
1,52,1.03741
1,53,0.858323
1,54,1.22353
1,55,0.913298
1,56,1.19349
1,57,0.97597
1,58,1.19743
1,59,0.878827
1,60,1.10214
1,61,0.886613
1,62,1.07854
1,63,0.97291
1,64,1.10831
1,65,0.880762
1,66,1.01317
1,67,1.08137
1,68,1.0197
1,69,0.93742
1,70,1.07574
1,71,0.897313
1,72,1.03679
1,73,1.09831
1,74,0.91021
1,75,0.794606
1,76,0.999331
1,77,1.02278
1,78,1.05839
1,79,1.04511
1,80,0.997674
1,81,0.970949
1,82,1.03887
1,83,0.886348
1,84,1.0467
1,85,1.07649
1,86,0.960051
1,87,0.949895
1,88,0.903156
1,89,0.974855
1,90,0.953931
1,91,0.923751
1,92,1.0445
2,0,0
2,1,1.07542
2,2,0.861163
2,3,1.04436
2,4,0.903784
2,5,0.984119
2,6,0.764696
2,7,1.08513
2,8,0.778857
2,9,1.03888
2,10,0.83277
2,11,1.08934
2,12,0.826851
2,13,1.00688
2,14,0.889214
2,15,1.04518
2,16,0.91297
2,17,1.10979
2,18,1.04279
2,19,1.06442
2,20,0.904624
2,21,1.27363
2,22,0.968865
2,23,0.996376
2,24,0.828328
2,25,0.867726
2,26,0.977701
2,27,1.04863
2,28,0.996973
2,29,1.21299
2,30,0.935919
2,31,1.12746
2,32,0.932889
2,33,1.03967
2,34,1.05732
2,35,1.02952
2,36,0.965119
2,37,1.20258
2,38,0.86717
2,39,1.1042
2,40,0.937056
2,41,1.23209
2,42,1.02623
2,43,1.01289
2,44,0.783434
2,45,1.01771
2,46,0.986178
2,47,1.0701
2,48,0.923929
2,49,1.04187
2,50,1.10566
2,51,1.02763
2,52,0.828394
2,53,1.19868
2,54,0.787999
2,55,1.08366
2,56,0.96624
2,57,0.965144
2,58,1.00391
2,59,1.0069
2,60,1.065
2,61,1.09099
2,62,0.925346
2,63,1.06322
2,64,1.03612
2,65,1.20665
2,66,0.937421
2,67,1.2129
2,68,0.939405
2,69,0.863325
2,70,0.937262
2,71,1.10376
2,72,1.05229
2,73,0.900111
2,74,1.02329
2,75,1.04902
2,76,0.802162
2,77,1.06808
2,78,0.932908
2,79,0.95184
2,80,0.86664
2,81,1.13571
2,82,0.86968
2,83,1.15008
2,84,0.979316
2,85,1.04174
2,86,0.992217
2,87,1.01355
2,88,1.008
2,89,1.24787
2,90,0.986665
2,91,0.980877
2,92,0.866553
